step,w_exact,w_char,w_pattern,w_affix,w_length,difficulty_multiplier,contrib_exact,contrib_char,contrib_pattern,contrib_affix,exact_match_raw,char_overlap_raw,pattern_raw,affix_raw,length_penalty_raw,exact_match_norm,char_overlap_norm,pattern_norm,affix_norm,length_penalty_norm,composite_pre,composite_with_length,composite_with_difficulty,composite_predicted,reward_scalar,composite_diff,parse_success
0,0.39999999999999997,0.19999999999999998,0.14999999999999997,0.09999999999999999,0.14999999999999997,1.2041666666666666,0.0,0.028481732038493506,0.012499999999999999,0.09583333333333333,0.0,0.14240866019246753,0.08333333333333333,0.9583333333333334,1.0,0.0,0.14240866019246753,0.08333333333333333,0.9583333333333334,1.0,0.13681506537182686,0.13681506537182686,0.1664216335104809,0.1664216335104809,0.1664216335104809,0.0,0.0
1,0.39999999999999997,0.19999999999999998,0.14999999999999997,0.09999999999999999,0.14999999999999997,1.2395833333333333,0.0,0.029531452183056004,0.009375,0.09999999999999999,0.0,0.14765726091528,0.0625,1.0,1.0,0.0,0.14765726091528,0.0625,1.0,1.0,0.138906452183056,0.138906452183056,0.17234274189231633,0.17234274189231633,0.17234274189231633,0.0,0.0
2,0.39999999999999997,0.19999999999999998,0.14999999999999997,0.09999999999999999,0.14999999999999997,1.1937499999999999,0.0,0.029053205771882282,0.009375,0.09865451388888886,0.0,0.14526602885941142,0.0625,0.9865451388888888,1.0,0.0,0.14526602885941142,0.0625,0.9865451388888888,1.0,0.13708271966077118,0.13708271966077118,0.16555769152984676,0.16555769152984676,0.16555769152984676,0.0,0.0
3,0.39999999999999997,0.19999999999999998,0.14999999999999997,0.09999999999999999,0.14999999999999997,1.2770833333333333,0.0,0.03326440860378359,0.0031249999999999997,0.09791666666666665,0.0,0.16632204301891793,0.020833333333333332,0.9791666666666666,1.0,0.0,0.16632204301891793,0.020833333333333332,0.9791666666666666,1.0,0.13430607527045027,0.13430607527045027,0.17152101652950238,0.17152101652950238,0.17152101652950238,0.0,0.0
4,0.39999999999999997,0.19999999999999998,0.14999999999999997,0.09999999999999999,0.14999999999999997,1.2729166666666665,0.0,0.025426046994855196,0.0,0.09639756944444444,0.0,0.12713023497427597,0.0,0.9639756944444445,1.0,0.0,0.12713023497427597,0.0,0.9639756944444445,1.0,0.12182361643929966,0.12182361643929966,0.15588730844652585,0.15588730844652585,0.15588730844652585,0.0,0.0
5,0.39999999999999997,0.19999999999999998,0.14999999999999997,0.09999999999999999,0.14999999999999997,1.2729166666666665,0.0,0.037054629199417634,0.007421874999999999,0.09999999999999999,0.0,0.18527314599708813,0.049479166666666664,1.0,1.0,0.0,0.18527314599708813,0.049479166666666664,1.0,1.0,0.14447650419941763,0.14447650419941763,0.18303157544517704,0.18303157544517704,0.18303157544517704,0.0,0.0
6,0.39999999999999997,0.19999999999999998,0.14999999999999997,0.09999999999999999,0.14999999999999997,1.2625,0.0,0.026738473314796812,0.006640625,0.09791666666666665,0.0,0.13369236657398406,0.044270833333333336,0.9791666666666666,1.0,0.0,0.13369236657398406,0.044270833333333336,0.9791666666666666,1.0,0.13129576498146348,0.13129576498146348,0.16656211322435174,0.16656211322435174,0.16656211322435174,0.0,0.0
7,0.39999999999999997,0.19999999999999998,0.14999999999999997,0.09999999999999999,0.14999999999999997,1.2874999999999999,0.0,0.02698855334668739,0.0042968749999999995,0.09791666666666665,0.0,0.13494276673343694,0.028645833333333332,0.9791666666666666,1.0,0.0,0.13494276673343694,0.028645833333333332,0.9791666666666666,1.0,0.12920209501335406,0.12920209501335406,0.1663400442572777,0.1663400442572777,0.1663400442572777,0.0,0.0
8,0.39999999999999997,0.19999999999999998,0.14999999999999997,0.09999999999999999,0.14999999999999997,1.2499999999999998,0.0,0.028015896044193505,0.009375,0.0966579861111111,0.0,0.1400794802209675,0.0625,0.966579861111111,1.0,0.0,0.1400794802209675,0.0625,0.966579861111111,1.0,0.1340488821553046,0.1340488821553046,0.1677393854480338,0.1677393854480338,0.1677393854480338,0.0,0.0
9,0.39999999999999997,0.19999999999999998,0.14999999999999997,0.09999999999999999,0.14999999999999997,1.258333333333333,0.0,0.03574459595579169,0.0111328125,0.09726562499999998,0.0,0.17872297977895846,0.07421875,0.97265625,1.0,0.0,0.17872297977895846,0.07421875,0.97265625,1.0,0.14414303345579169,0.14414303345579169,0.1805602531019981,0.1805602531019981,0.1805602531019981,0.0,0.0
